name,amount,unit
Bhansaghar Premium Long Grain Rice 20 Kg,20,kg
JUAS Quinoa (Pre-washed) - 1.5kg,1.5,kg
Big Choice Premium Jeera Masino Rice 25kg,25,kg
Big Choice Red Chana Whole -1Kg,1,kg
Big Choice Big Musuro Daal 1kg,1,kg
Big Choice Chana Daal -1Kg,1,kg
"Big Choice Regular Rahar Non Polish Daal, 1Kg",1,kg
Big Choice Moong Dal -1Kg,1,kg
"Big Choice Rahar Non Polish Premium Daal, 1Kg",1,kg
JUAS Quinoa (Pre-washed) 600 gm,600,g
"Big Choice Rajma Indian, 1Kg",1,kg
Big Choice Mixed Daal 1Kg,1,kg
Big Choice Rajma Nepali -1Kg,1,kg
Big Choice Regular Jeera Masino Rice 25 Kg,25,kg
Ashirbad Steam Jeera Masino 25 Kg,25,kg
Sathu Maavu 100% Natural Porridge Mix - 200 gms,200,g
Crown Dates Wet - 500Gm Pkt,500,g
Big Choice Kabuli Chana Medium 1KG,1,kg
"Big Choice Regular Maas Non Polish Daal, 1kg",1,kg
Big Choice Moong Kosta Daal 1Kg,1,kg
Big Choice Small Musuro Daal 1kg,1,kg
Big Choice Bodi -1Kg,1,kg
Haldiram'S Sada Papad -180G,180,g
Big Choice Moong Whole -1Kg,1,kg
Shrimann Green Kerau -1Kg,1,kg
Haldiram's Punjabi Masala Papad 180 g,180,g
Big Choice Maas Non Polish Premium Daal - 1kg,1,kg
Dabur Chyawanprash 500 Gm,500,g
Haldiram's Jeera Papad 180G,180,g
Big Choice Malka Musuro  Whole/Kg,,
Spartan Prawn Cracker 120G,120,g
"Home-made, Ready to eat -  Sutkeri Masala (500gm)",500,g
Poshilo Nutty Delight Satu 800 gms,800,g
Shrimann Mix Dal -1Kg,1,kg
Poshilo Protein +  Satu 800 gm,800,g
Poshilo's Protein + satu 2kg,2,kg
Harlal's Unique Green Raisins 200G,200,g
Bambino Mixed Vegetable Soup Powder 50G,50,g
Selva Pasta No.4 Spaghetti 500 Gms,500,g
Ghar Ko Achar Buff Sukuti Achar - 500gm,500,g
