name,amount,unit
Big Choice Big Musuro Daal 1kg,1,kg
Big Choice Chana Daal -1Kg,1,kg
"Big Choice Regular Rahar Non Polish Daal, 1Kg",1,kg
Big Choice Moong Dal -1Kg,1,kg
"Big Choice Rahar Non Polish Premium Daal, 1Kg",1,kg
Big Choice Mixed Daal 1Kg,1,kg
"Big Choice Regular Maas Non Polish Daal, 1kg",1,kg
Big Choice Moong Kosta Daal 1Kg,1,kg
Big Choice Small Musuro Daal 1kg,1,kg
Big Choice Maas Non Polish Premium Daal - 1kg,1,kg
Shrimann Moong Chaata Dal 1 kg,1,kg
Big Choice Local Moong Daal 1Kg,1,kg
Shrimann Mix Dal -1Kg,1,kg
Local Kalo Dal 1Kg,1,kg
"Big Choice Maas Chhata Daal, 1Kg",1,kg
Khoste Moongko Dal 1Kg,1,kg
Himali Organic Gahat Daal 1kg,1,kg
Thulo Musuriko Dal 1Kg,1,kg
Big Choice Premium Rahar Non Polish Daal 5Kg,5,kg
Rahar Daal (Pegeon Pea Split) 1Kg,1,kg
Himali Organic Simi Daal 1kg,1,kg
Baluwatar Organics Kalo Simi Daal 1Kg,1,kg
Himali Organic Mung Daal 1kg,1,kg
Baluwatar Organics Gahat Daal 1Kg,1,kg
Moong Daal 1Kg,1,kg
Mixed Dal 1KG,1,kg
Rahar Daal (Pegeon Pea Split) 1Kg,1,kg
Red Big Lentils(Musuro Daal)-1Kg,1,kg
Himali Organic Musuro Daal 1kg,1,kg
Himali Organic Mas Daal  1kg,1,kg
Baluwatar Organics Kalo Simi Daal 500g,500,g
Split Black Gram ( Local Maas Ko Dal ),,
Split Red Lentils 1Kg,1,kg
Baluwatar Organics Gahat Daal 500g,500,g
Himali Organic Rahar Daal 1kg,1,kg
Dhiki Jato Mustang Kalo Simi Daal 1kg,1,kg
Gahat Daal 1Kg,1,kg
Baluwatar Organics White Simi Daal 500g,500,g
Baluwatar Organics Rajma Daal 500g,500,g
Baluwatar Organics Black Daal 500g,500,g
