name,amount,unit
Bhansaghar Premium Long Grain Rice 20 Kg,20000.0,g
Pearl Katarani Rice 25 kg,25000.0,g
Bhansaghar Gold Steam Jeera Masino Rice 25Kg,25000.0,g
Big Choice Premium Jeera Masino Rice 25kg,25000.0,g
Aarati Premium Rice-20 Kg,20000.0,g
Hulash Basmati Premium Rice 20Kg.,20000.0,g
Harpal Boiled Rice -20Kg,20000.0,g
Big Choice Regular Jeera Masino Rice 25 Kg,25000.0,g
Ashirbad Steam Jeera Masino 25 Kg,25000.0,g
Hulas Basmati Premium 5Kg,5000.0,g
Hulas Jeera Masino -25Kg,25000.0,g
Bhansaghar Premium Long Grain Rice 5 Kg,5000.0,g
Taichin Chamal ((Glutinous) Rice- 1kg,1000.0,g
Sara Foods Sugar Free Brown Rice - 1 kg,1000.0,g
Gyan Bhuja -400G,400.0,g
Mithas Premium Reserve Rice -20Kg,20000.0,g
Gyan Basmati Rice Premium -5Kg,5000.0,g
Gyan Basmati Rice Premium 20Kg,20000.0,g
Mithas Premium Reserve Rice 1 kg,1000.0,g
Aarati Gold Rice 20Kg,20000.0,g
Mithas Premium Reserve Rice 5 Kg,5000.0,g
India Gate Dubar Basmati Rice 5kg,5000.0,g
Hulas Jeera Masino 5 Kg,5000.0,g
Dhiki Jato Brown Rice 5kg,5000.0,g
Pearl Premium Jeera Masino Rice - 25 kgs,25000.0,g
India Gate Basmati Rice Dubar 5Kg,5000.0,g
DhikiJato Local Anadi Chamal 1 KG,1000.0,g
Aarati Premium Rice 5kg,5000.0,g
India Gate Basmati Rice Super Rozzana 5kg,5000.0,g
Hulas Basmati Premium 10Kg,10000.0,g
Arati Classic Rice 5Kg,5000.0,g
Life Seto Taichin Chiura 900gm,900.0,g
India Gate Brown Rice Weight Watcher 1 kg Jar,1000.0,g
Hulas Idly Basmati Rice- 5kg,5000.0,g
Brown Rice Pokhreli- 5kg,5000.0,g
Rassi Nepali Taichin Rice 1 kg,1000.0,g
India Gate Brown Basmati Rice Active Health Jar 1kg,1000.0,g
India Gate Super Rozzana Rice 5 kg,5000.0,g
Aarati Classic Rice 20Kg,20000.0,g
Baluwatar Organics Millet (Chino) Rice 500g,500.0,g
