name,amount,unit
JUAS Quinoa (Pre-washed) - 1.5kg,1.5,kg
Bhansaghar Premium Long Grain Rice 20 Kg,20,Kg
Aarati Premium Rice-20 Kg,20,Kg
Pearl Katarani Rice 25 kg,25,kg
Big Choice Premium Jeera Masino Rice 25kg,25,kg
Bhansaghar Gold Steam Jeera Masino Rice 25Kg,25,Kg
Hulash Basmati Premium Rice 20Kg.,20,Kg
Big Choice Red Chana Whole -1Kg,1,Kg
JUAS Quinoa (Pre-washed) 600 gm,600,gm
Big Choice Regular Jeera Masino Rice 25 Kg,25,Kg
"Big Choice Rajma Indian, 1Kg",1,Kg
Ashirbad Steam Jeera Masino 25 Kg,25,Kg
Hulas Jeera Masino -25Kg,25,Kg
Sathu Maavu 100% Natural Porridge Mix - 200 gms,200,gms
Harpal Boiled Rice -20Kg,20,Kg
Wai Wai Dynamite Extra Spicy Instant Noodles (5 X 100gm pack) [Free Stainless Steel Bowl 2 pc],5 X 100,gm
Wai Wai Dynamite Extra Spicy Instant Noodles (5 X 100gm pack) [Free Stainless Steel Bowl 2 pc],2,pc
Pure Ilame Chhurpi (Nepali Traditional Dried Cheese) 500gm Pack,500,gm
Big Choice Rajma Nepali -1Kg,1,Kg
Almond Nuts Madhuram Premium Quality 1 kg,1,kg
Taichin Chamal ((Glutinous) Rice- 1kg,1,kg
Bhansaghar Premium Long Grain Rice 5 Kg,5,Kg
Hulas Basmati Premium 5Kg,5,Kg
Poshak Chana Satu With Almonds 400 Grams,400,Grams
Home Made Mixed Achar with Mula; Gajar & khursani,,
Bikano Papad Kali Mirch 200 Gm,200,Gm
Big Choice Kabuli Chana Medium 1KG,1,KG
Home Made kagati ko Achar with Akabare khursani &  Mixed Achar,,
Home Made Mixed Achar with Mula; Gajar & khursani,,
Home Made Achar packed with spices of Kagati & Mixed Vegetable,,
Wai Wai Chicken 65 gm (Pack of 30),65,gm
Kaju Madhuram Fresh Cashew 1Kg,1,Kg
Home Made kagati ko Achar with Akabare khursani &  Kagati ko Achar,,
"Home-made, Ready to eat -  Sutkeri Masala (500gm)",500,gm
Haldiram's Jeera Papad 180G,180,G
Poshilo's Protein + satu 2kg,2,kg
Samyang Buldak Topokki (Pasta Carbonara Flavor) Pack of 2 (tteokbokki) (rice cake),,
Buckwheat Whole,,
Haldiram'S Sada Papad -180G,180,G
Haldiram's Punjabi Masala Papad 180 g,180,g
Home Made kagati ko Achar with Akabare khursani &  Mixed Achar,,
Tofu 400 gm 1Pcs,400,gm
Tofu 400 gm 1Pcs,1,Pcs
Ginger Kombucha 500ml,500,ml
Variety Tasty Pau Lapsi Paun - 4 In 2 Combo Pack 800 Gm 4 Diffrent Taste,800,Gm
Super Candy  Lapsi Paun  Titaura -  500Gm @ 2 Flavour / Total 1kg,500,Gm
Super Candy  Lapsi Paun  Titaura -  500Gm @ 2 Flavour / Total 1kg,1,kg
Mix Titaura  Sweet Candy Lapsi Paun -   4 In 1 Combo Pack 500 Each - 2Kg,2,Kg
Sara Foods Blackstrap Molasses - 250Gm,250,Gm
Haldiram'S Moong Daal 180 Gm,180,Gm
Sara Foods Blackstrap Molasses - 750Gm,750,Gm
Mint Kombucha 500ml set of 4,500,ml
Bikano Khatta Meetha 200 Gm,200,Gm
Champak Jhol Paun/Titaura 550gm glass jar,550,gm
Haldiram'S All In One- 360G,360,G
Haldiram-S Punjabi Tadka 200 gm,200,gm
Haldiram'S Aloo Bhujia 200 gm,200,gm
Champak Mix Pack (Lapsi Paun) 500 gm Pack,500,gm
K.G. Foods Quality Khattu Titaura/Pau - 200 gm ( Sweet and Sour Dried Bayar),200,gm
Hira Foods Chana 500g,500,g
Champak Lapsi Powder 500 gm Pack,500,gm
"Haldirams Bhujia, 1kg",1,kg
Haldiram-S Bhujia 180 Gm,180,Gm
Haldiram's Moong Dal Dalmoth 1Kg,1,Kg
Haldiram'S Bhujia -1Kg,1,Kg
Bikano Moong Dal Plain-400 Gm,400,Gm
Haldirams Bhujia-360G,360,G
Haldiram'S Aloo Bhujia -400G,400,G
"Pintola Organic Wholegrain Brown Rice Cakes - All Natural (Lightly Salted, Pack of 2) 125 gm",125,gm
Pokka Ice Blueberry Tea 500ml,500,ml
American Garden Popcorn Extra Butter 297G,297,G
K.G. Foods Quality Classic Pustakari (Nepali Candy) - 500 gm,500,gm
K.G. Foods Quality Classic Lakhamari- 500 gm,500,gm
Haldiram's Khatta Meetha -400g,400,g
Haldiram'S Plain Bhujia 180 gm,180,gm
Bikaji Kaju Badam Laccha 350 Gm,350,Gm
Haldiram'S Moong Daal-360 Gm,360,Gm
K.G. Foods Quality Classic Lakhamari- 1 kg,1,kg
Pokka Ice Lemon Tea 500ml,500,ml
Haldiram'S Plain Bhujia- 360G,360,G
Bikano Navratan Mix -400G,400,G
Bikano Bikaneri Bhujia 400 Gm,400,Gm
Bikaji All-In-One Kuch-Kuch 400g,400,g
